Retail Property Partners Ltd,9101 Mcpherson Rd,TX,Laredo,780456263
"7-Eleven, Inc.",2551 Meacham Blvd,TX,Fort Worth,761374202
Brown Carolyn M 1991,1401 E Memorial Rd,OK,Edmond,73013
Greeley James L & Leann,1701 N Meridian Ave,OK,Oklahoma City,731073637
"Brooklyn Co, The",2924-2928 S Meridian Ave,OK,Oklahoma City,73108
"7-Eleven, Inc.",13995 Midway Rd,TX,Farmers Branch,75244
National Retail Properties LP,1063 SE Military Dr,TX,San Antonio,78214
Traugott Family Partners,3155 SW Military Dr,TX,San Antonio,78224
Martin Eagle Oil Co,966 S Mill St,TX,Lewisville,750574640
C and T Andrews Highway Property LLC,1050 Missouri Ave,TX,Fort Worth,76104
"7-Eleven, Inc.",12000 N Mo Pac Expy,TX,Austin,787582904
Sblft Of Of I Ltd,4415 W Mockingbird Ln,TX,Dallas,752095203
Fonberg Real Estate Inv,14300 Montfort Dr,TX,Dallas,752548406
Sam Coury,1601-1605 S Mustang Rd,OK,Yukon,73099
"7-Eleven, Inc.",5906 N Navarro St,TX,Victoria,779041763
RMR Development Inc,1605 W North Carrier Pky,TX,Grand Prairie,75050
Southwest Convenience Stores L,7351 Northwest Fwy,TX,Wichita Falls,763055379
"7-Eleven, Inc.",1717 Northwest Hwy,TX,Garland,750415234
7-Eleven,10120 E Northwest Hwy,TX,Dallas,752384406
"7-Eleven, Inc.",11363 E Northwest Hwy,TX,Dallas,75238
New A Malik Inc,1985 W Northwest Hwy,TX,Dallas,75220
David E. Claassen Investments,3733 W Northwest Hwy,TX,Dallas,752204925
Beer Family,510 N Nursery Rd,TX,Irving,75061
SEJ Asset Management & Investment Company,5003 N O'Connor Rd,TX,Irving,75062
"Don Johnson Oil Co., Inc.",1415 W Oak St,TX,Denton,762013937
"7-Eleven, Inc.",2529 Oak Lawn Ave,TX,Dallas,75219
"7-Eleven, Inc.",1428 Oates Dr,TX,Mesquite,751501344
James R Harris Family Trust,3700 Old Denton Rd,TX,Carrollton,750072821
,1320 E Oltorf St,TX,Austin,787045714
7-eleven Inc,1747 E Oltorf St,TX,Austin,787413816
Retail Property Partners Ltd,1541 S Padre Island Dr,TX,Corpus Christi,784161323
Retail Property Partners Ltd,3955 S Padre Island Dr,TX,Corpus Christi,784152915
Trademark Property Co,5602 S Padre Island Dr,TX,Corpus Christi,784123902
"Edens, Inc.",4601 W Park Blvd,TX,Plano,750932324
Harbage-Wilson Llc,4225 Park Springs Blvd,TX,Arlington,76016
DLW Thurston Ltd,800 E Parker Rd,TX,Plano,750745402
Southland Corp,996 W Parker Rd,TX,Plano,750752339
National Retail Properties LP,1625 E Parmer Ln,TX,Austin,78753
SEJ Asset Management & Investment Co.,3801 W Parmer Ln,TX,Austin,78727
,3100 Pat Booker Rd,TX,Universal City,78148
Bank Of Oklahoma Na,9308 N Pennsylvania Ave,OK,Oklahoma City,73120
Sheinbein Family Limited Partnership,230 W Pioneer Pky,TX,Grand Prairie,750514945
"7-Eleven, Inc.",3930 W Pioneer Pky,TX,Arlington,760132905
"7-Eleven, Inc.",1360 S Plano Rd,TX,Richardson,750815928
Inge Brazos I Llc,6000 W Plano Pky,TX,Plano,75093
"The Krausz Companies, Inc.",640 W Pleasant Run Rd,TX,Lancaster,751461572
"7-Eleven, Inc.",1501 Port Lavaca Dr,TX,Victoria,779017005
Roxbury Partners Llc,1301 Preston Rd,TX,Plano,750935113
"7-Eleven, Inc.",3650 Preston Rd,TX,Frisco,750349453
"7-Eleven, Inc.",6465 Preston Rd,TX,Plano,750242608
Nadlan Venture Ltd,7225 Preston Rd,TX,Frisco,75034
R.M. Ginsberg,11803 Preston Rd,TX,Dallas,752302708
Day Bobbie R D,5950 S R L Thornton Fwy,TX,Dallas,752322630
National Retail Properties LP,2606 W Ranch Road 1431,TX,Kingsland,786393819
"Speedy Stop Food Stores, LLC",11613 Ranch Road 620 N,TX,Austin,78750
Austin Fcs Limited,14016 Ranch Road 620 N,TX,Austin,787171103
"Brooklyn Co, The",601 S Ranchwood Blvd,OK,Yukon,73099
Cathy R Hassine,501 Renfro St,TX,Crowley,76036
Michael Parker,4180 E Renner Rd,TX,Richardson,750822832
Jorco 1 Llc,4803 E Reno Ave,OK,Oklahoma City,73117
Exxon Mobil Corporation,10800 Research Blvd,TX,Austin,78759
,11643 Research Blvd,TX,Austin,787594031
Csmc 2007 C3 Richardson Height,2 Richardson Heights Ctr,TX,Richardson,750806315
"The Krausz Companies, Inc.",1007 Ridge Rd,TX,Rockwall,750874201
"7-Eleven, Inc.",1628 N Rockwell Ave,OK,Oklahoma City,73127
"7-Eleven, Inc.",11231 N Rockwell Ave,OK,Oklahoma City,73162
Asuda Holdings LLC,3976 Rosemeade Pky,TX,Dallas,752872403
The Southland Corp,1865 E Rosemeade Pky,TX,Carrollton,750072638
The Dimension Group,5002 Ross Ave,TX,Dallas,752067707
"7-Eleven, Inc.",460 E Round Grove Rd,TX,Lewisville,750678307
SEJ Asset Management & Investment Company,7818 Rowlett Rd,TX,Rowlett,75089
James P Meeks Trust,16310 RR 620,TX,Round Rock,78681
Southland Corp 26890,7001 Rufe Snow Dr,TX,Watauga,761481861
Speedy Stop Food Stores Llc,1822 Rutland Dr,TX,Austin,787585424
KGC Limited Partnership,S. Clear Creek Road And W Rd,TX,Killeen,76549
"7-Eleven, Inc.",5700 Sam Calloway Rd,TX,Fort Worth,761143272
"7-Eleven, Inc.",3302 Sam Houston Dr,TX,Victoria,779042239
Ada G Rippon Living Trust,2803 San Jacinto Blvd,TX,Austin,787053815
,10110 San Pedro Ave,TX,San Antonio,78216
,15302 San Pedro Ave,TX,San Antonio,78232
